access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,maximum_vehicle_class,open_date,owner_type_code,restricted_access,status_code,funding_sources,facility_type,station_name,station_phone,updated_at,geocode_status,latitude,longitude,city,country,intersection_directions,plus4,state,street_address,zip,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_has_rng,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_workplace_charging,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_has_rng,lng_renewable_source,lng_vehicle_class,lpg_nozzle_types,lpg_primary,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blended_with_biodiesel,rd_blends,rd_blends_fr,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids.station,ev_network_ids.posts,federal_agency.id,federal_agency.code,federal_agency.name
public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,2024-07-01,,ELEC,Public,186866,,2021-03-29,P,,E,,SHOPPING_CENTER,Don's Market - Tesla Supercharger,877-798-3752,2024-08-14T18:58:22Z,GPS,33.109255,-116.674411,Santa Ysabel,US,,,CA,30270 CA-78,92070,,,,,,,,,,,,['TESLA'],8.0,,,Tesla,https://www.tesla.com/supercharger,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['10478'],,,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,186946,,2021-04-03,,,E,,,BRESSI RETAIL STATION 1,888-758-4389,2024-12-03T01:04:04Z,GPS,33.12855,-117.253194,Carlsbad,US,,,CA,2674 Gateway Road Building H,92009,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL449211'],"['11701761', '11701771']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,187234,,2021-04-09,,,E,,,NEW ERA NEW ERA 1,888-758-4389,2024-12-03T01:46:22Z,GPS,33.141144,-117.145584,San Marcos,US,Near Front Entrance Parking Lot,,CA,682 Rancheros Dr,92069,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL6248071'],"['10486951', '10486961']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,187306,,2021-04-10,,,E,,,UTC SOUTH STATION 2,888-758-4389,2024-12-03T00:59:41Z,GPS,32.869582,-117.211665,San Diego,US,,,CA,4373 La Jolla Village Dr,92122,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL212805'],"['23157321', '23157331']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,187629,,2021-04-15,,,E,,,CSD CA SWEETWATER PARK,888-758-4389,2024-12-03T01:46:01Z,GPS,32.726573,-116.968939,Spring Valley,US,Parking Lot,,CA,10691 Sweetwater Pl,91977,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL5855661'],"['22705601', '22705611']",,,
public,Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,,,2024-12-04,,ELEC,Public,187708,,2021-04-12,,False,E,,,Chula Vista Center Macys,888-264-2208,2024-12-04T01:34:43Z,GPS,32.630864,-117.086405,Vista,US,,,CA,555 Broadway Chula,91910,,,,,,,,,,,,['J1772'],,,2.0,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['5955'],"['2J4G-09', '2J4G-10']",,,
public,Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,,,2024-12-04,,ELEC,Public,187709,,2021-04-12,,False,E,,,Chula Vista Center,888-264-2208,2024-12-04T01:34:40Z,GPS,32.63001,-117.08751,Vista,US,,,CA,555 Broadway Chula,91910,,,,,,,,,,,,['J1772'],,,2.0,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['5951'],"['2J4G-01', '2J4G-02']",,,
public,Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,,,2024-12-04,,ELEC,Public,187710,,2021-04-12,,False,E,,,Chula Vista Center Burlington,888-264-2208,2024-12-04T01:34:41Z,GPS,32.62901,-117.086226,Vista,US,,,CA,555 Broadway Chula,91910,,,,,,,,,,,,['J1772'],,,2.0,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['5952'],"['2J4G-03', '2J4G-11']",,,
public,24 hours daily,,,2024-12-04,2024-11-26,ELEC,TEMPORARILY UNAVAILABLE (Public),187921,,2020-02-17,,,T,,,Manchester Grand Hyatt,888-998-2546,2024-12-04T00:58:55Z,GPS,32.7101427,-117.1676419,San Diego,US,,,CA,1 Market Place,92101,,,,,,,,,,,,['J1772'],,,9.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,['465ba1dd-d734-8158-93cc-330000566810'],"['305085b8-f0d5-4269-8035-8a0fb5dda78a', '465ba1dd-d734-8158-93cc-330000689489', '51a64ad8-9cc9-4f31-a4ee-2ea4e5904190', '789e621c-5dc9-4284-a87e-6275f576c51f', '82510d89-5dfa-4bdc-bf27-d511479dac2c', 'c9f3c02b-0e4e-420f-b8b6-fae8cbab2c25', 'd3caf80a-4dc8-466e-ad83-2fb940680fdb', 'd5b14671-3b3e-4372-b5e0-dd1327f842c0', 'f7f24fa2-38c6-4af1-807c-b2d6d97caa22']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,187929,,2021-04-24,,,E,,,GILDRED SINGLE ENCIN #1,888-758-4389,2024-12-03T01:38:54Z,GPS,33.128004,-117.327478,Carlsbad,US,,,CA,5441 Avenida Encinas,92008,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL5460991'],['23280201'],,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,189038,,2021-03-15,,,E,,,Buzz Apartments,888-998-2546,2024-12-04T00:43:33Z,GPS,32.717748,-117.129832,San Diego,US,,,CA,2995 B Street,92102,,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,['465ba1dd-d734-8158-93cc-330000562361'],"['434f5015-89aa-4f7a-8a02-f23d3be759a3', '86fb9ac2-3582-4010-a6c3-f65546f2e8c1']",,,
public,24 hours daily,,,2024-12-03,2023-02-21,ELEC,TEMPORARILY UNAVAILABLE (Public),189368,,2021-05-08,,,T,,,ENTRANCE DCFAST HOG,888-758-4389,2024-12-03T01:19:02Z,GPS,32.822133,-117.226493,San Diego,US,,,CA,4645 Morena Blvd,92117,,,,,,,,,,,,['J1772COMBO'],1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,['USCPIL1856741'],['2183761'],,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,189456,,2021-05-11,,,E,,,HCP SAN DIEGO 4921DIRECTORS 1,888-758-4389,2024-12-03T01:45:30Z,GPS,32.894404,-117.210176,San Diego,US,Parking Lot,,CA,4921 Directors Pl,92121,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL5639341'],"['9297981', '9297991']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,189555,,2021-05-12,,,E,,,HCP SAN DIEGO 4921DIRECTORS 2,888-758-4389,2024-12-03T01:45:30Z,GPS,32.894384,-117.210112,San Diego,US,Parking Lot,,CA,4921 Directors Pl,92121,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL5639351'],['9298001'],,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,190066,,2021-05-25,,,E,,,"Target T0300 (Mission Viejo, CA)",833-632-2778,2024-12-03T03:16:36Z,GPS,33.60568,-117.68901,Mission Viejo,US,,,CA,24500 Alicia Pkwy,92691,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",6.0,,,Electrify America,https://www.electrifyamerica.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['210024'],"['210024-01', '210024-02', '210024-03', '210024-04', '210024-05', '210024-06']",,,
private,Also accepts PayPal,,A APPLE_PAY D M V,2022-08-10,,ELEC,Private,190269,LD,2021-03-31,P,,E,,PARKING_LOT,San Pasqual Economic Development Corp,,2023-02-14T15:54:11Z,200-8,33.227963,-116.976294,Valley Center,US,,,CA,31267 Valley Center Rd,92082,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1.0,,,EV Connect,http://evconnect.com/,,$0.35 per kWh,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,190312,,2021-05-28,,,E,,,"Target T1846 - San Diego, CA",833-632-2778,2024-12-03T03:16:44Z,GPS,32.74145,-117.05656,San Diego,US,,,CA,3424 College Ave.,92115,,,,,,,,,,,,"['J1772', 'J1772COMBO']",3.0,,1.0,Electrify America,https://www.electrifyamerica.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['200148'],"['200148-01', '200148-02', '200148-03', '200148-50']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,190945,,2021-06-12,,,E,,,CPTSTATION13 STATION 2,888-758-4389,2024-12-03T01:50:24Z,GPS,32.756295,-117.161631,San Diego,US,,,CA,4307 Third Ave,92103,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL8107981'],"['14126961', '14126971']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,190996,,2021-06-15,,,E,,,CPTSTATION13 STATION 1,888-758-4389,2024-12-03T01:50:24Z,GPS,32.756366,-117.161853,San Diego,US,,,CA,4307 Third Ave,92103,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL8107951'],"['14126901', '14126911']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,192650,,2021-07-08,,,E,,,Safeway #1476 San Jose,833-632-2778,2024-12-03T03:18:07Z,GPS,37.32267,-121.91359,San Jose,US,,,CA,1300 West San Carlos Street,95126,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",3.0,,,Electrify America,https://www.electrifyamerica.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['200190'],"['200190-01', '200190-02', '200190-03']",,,
public,Mon 7:00am - 12:00am; Tue 7:00am - 12:00am; Wed 7:00am - 12:00am; Thu 7:00am - 12:00am; Fri 7:00am - 12:00am; Sat 7:00am - 12:00am; Sun 7:00am - 12:00am,,,2024-12-03,,ELEC,Public,192790,,2021-07-13,,,E,,,TARGET T0305 STATION 2,888-758-4389,2024-12-03T01:52:00Z,GPS,32.911806,-117.145582,San Diego,US,,,CA,8265 Mira Mesa Blvd,92126,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL8606991'],['26103171'],,,
public,Mon 7:00am - 12:00am; Tue 7:00am - 12:00am; Wed 7:00am - 12:00am; Thu 7:00am - 12:00am; Fri 7:00am - 12:00am; Sat 7:00am - 12:00am; Sun 7:00am - 12:00am,,,2024-12-03,,ELEC,Public,192791,,2021-07-13,,,E,,,TARGET T0305 STATION 3,888-758-4389,2024-12-03T01:52:00Z,GPS,32.911251,-117.145557,San Diego,US,,,CA,8251 Mira Mesa Blvd,92126,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL8607101'],['25595501'],,,
public,Mon 7:00am - 12:00am; Tue 7:00am - 12:00am; Wed 7:00am - 12:00am; Thu 7:00am - 12:00am; Fri 7:00am - 12:00am; Sat 7:00am - 12:00am; Sun 7:00am - 12:00am,,,2024-12-03,,ELEC,Public,192792,,2021-07-13,,,E,,,TARGET T0305 STATION 1,888-758-4389,2024-12-03T01:52:00Z,GPS,32.911863,-117.145586,San Diego,US,,,CA,8265 Mira Mesa Blvd,92126,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL8607851'],"['23372711', '23372721']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,193066,,2021-07-22,,,E,,,EV VILLAT LAKE LAKESHORE01,888-758-4389,2024-12-03T01:47:17Z,GPS,32.860836,-116.91952,Lakeside,US,,,CA,12606 Lakeshore Dr,92040,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL7076911'],"['12121581', '12121591']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,193393,,2021-07-31,,,E,,,LH CIVIC CENTER B,888-758-4389,2024-12-03T01:49:08Z,GPS,33.613297,-117.71203,Laguna Hills,US,Westerly side of building - access from Paseo de Valencia,,CA,24035 El Toro Rd,92653,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL7710541'],"['24897951', '24897961']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,193402,,2021-07-31,,,E,,,LH CIVIC CENTER A,888-758-4389,2024-12-03T01:52:47Z,GPS,33.613243,-117.71203,Laguna Hills,US,Westerly side of building - access from Paseo de Valencia,,CA,24035 El Toro Rd,92653,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL8888971'],"['15642811', '15642821']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,193983,,2021-08-16,,,E,,,Symphony Bayside Park,888-998-2546,2024-12-04T00:00:05Z,GPS,32.703594,-117.164101,San Diego,US,,,CA,200 Marina Parkway,92101,,,,,,,,,,,,['J1772'],,,7.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,['465ba1dd-d734-8158-93cc-330000589372'],"['465ba1dd-d734-8158-93cc-330000511749', '465ba1dd-d734-8158-93cc-330000521854', '465ba1dd-d734-8158-93cc-330000724213', '465ba1dd-d734-8158-93cc-330000724216', '465ba1dd-d734-8158-93cc-330000724227', '465ba1dd-d734-8158-93cc-330000726304', '488c7525-3baa-43c8-bf49-75106c79ab5d']",,,
public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,A D Debit M V,2024-07-01,,ELEC,Public,194069,LD,2021-07-13,P,,E,,SHOPPING_CENTER,Target - Tesla Supercharger,877-798-3752,2024-08-14T18:58:22Z,GPS,32.911788,-117.145678,San Diego,US,,,CA,8251 Mira Mesa Boulevard,92126,,,,,,,,,,,,['TESLA'],16.0,,,Tesla,https://www.tesla.com/supercharger,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['8032'],,,,
public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,A D Debit M V,2024-07-01,,ELEC,Public,194089,LD,2021-08-18,P,,E,,SHOPPING_CENTER,Carlsbad Premium Outlets - Tesla Supercharger,877-798-3752,2024-08-14T18:58:22Z,GPS,33.12482,-117.319244,Carlsbad,US,,,CA,5620 Paseo Del Norte,92008,,,,,,,,,,,,['TESLA'],16.0,,,Tesla,https://www.tesla.com/supercharger,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['12655'],,,,
public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,A D Debit M V,2024-07-01,,ELEC,Public,194090,LD,2021-08-18,P,,E,,SHOPPING_CENTER,Creekside Marketplace - Tesla Supercharger,877-798-3752,2024-08-14T18:58:22Z,200-9,33.136529,-117.175992,San Marcos,US,,,CA,563 Grand Avenue,92069,,,,,,,,,,,,['TESLA'],20.0,,,Tesla,https://www.tesla.com/supercharger,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['12097'],,,,
public,Sat 12:00am - 12:00am; Sun 12:00am - 12:00am,,,2024-12-03,,ELEC,Public,194101,,2021-08-19,,,E,,,600 LA TERRAZA LA TERRAZA,888-758-4389,2024-12-03T01:52:53Z,GPS,33.111974,-117.095519,Escondido,US,front,,CA,600 La Terraza Blvd,92025,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL8949811'],"['15760951', '15760961']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,194207,,2021-08-25,,,E,,,UCSD CP-ARBOR 9-2,888-758-4389,2024-12-03T00:57:13Z,GPS,32.753992,-117.167589,San Diego,US,UCSD Parking Permit Required,,CA,200 W Arbor Street Dove Street,92103,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL195227'],"['16411591', '16411601']",,,
public,Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,,,2024-12-04,2024-11-17,ELEC,TEMPORARILY UNAVAILABLE (Public),194581,LD,2021-08-26,,False,T,,,Albertsons Chula Vista,888-264-2208,2024-12-04T01:29:58Z,GPS,32.626683,-117.07533,Chula Vista,US,,,CA,720 3rd Ave,91910,,,,,,,,,,,,['J1772'],,,2.0,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,,,,False,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,['5436'],"['2EL2-01', '2EL2-02']",,,
public,Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,,,2024-12-04,,ELEC,Public,194582,LD,2021-08-26,,False,E,,,Westfield North County,888-264-2208,2024-12-04T01:38:54Z,GPS,33.071242,-117.067196,Escondido,US,,,CA,272 E Via Rancho Pkwy,92025,,,,,,,,,,,,['J1772'],,,2.0,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['6388'],"['20BV-01', '20BV-02']",,,
public,Mon 8:00am - 10:00pm; Tue 8:00am - 10:00pm; Wed 8:00am - 10:00pm; Thu 8:00am - 10:00pm; Fri 8:00am - 10:00pm; Sat 8:00am - 10:00pm; Sun 8:00am - 10:00pm,,,2024-12-04,2024-09-18,ELEC,TEMPORARILY UNAVAILABLE (Public),194584,LD,2021-08-26,,False,T,,,Kohls Rancho Santa Margarita CA,888-264-2208,2024-12-04T01:31:23Z,GPS,33.640128,-117.594253,Rancho Santa Margarita,US,,,CA,22215 El Paseo,92688,,,,,,,,,,,,['J1772'],,,2.0,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,,,,False,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,['5586'],"['2YGJ-01', '2YGJ-02']",,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,194707,,2017-03-20,,,E,,,"1 Columbia Investment, LLC",800-663-5633,2024-12-04T00:51:37Z,GPS,32.7183484,-117.1670069,San Diego,US,,,CA,401 West A Street,92101,,,,,,,,,,,,['J1772'],,,4.0,Blink Network,http://www.blinkcharging.com/,,$1.00/Hr Parking Fee,,False,,,,,,,,,,,,,,,,,,,,,Public,,['d0e864cf-fb2a-3dbf-1307-c00000005500'],"['ec7d626f-5a87-3f0b-1307-200000005227', 'ec7d626f-5a87-3f0b-1307-200000005228', 'ec7d626f-5a87-3f0b-1307-200000005229', 'ec7d626f-5a87-3f0b-1307-200000005230']",,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,194708,,2017-06-19,,,E,,,"2 Columbia Investment, LLC",800-663-5633,2024-12-04T00:51:38Z,GPS,32.7181468,-117.1676961,San Diego,US,,,CA,1230 Columbia Street,92101,,,,,,,,,,,,['J1772'],,,4.0,Blink Network,http://www.blinkcharging.com/,,$1.00/Hr Parking Fee,,False,,,,,,,,,,,,,,,,,,,,,Public,,['d0e864cf-fb2a-3dbf-1307-c00000005501'],"['ec7d626f-5a87-3f0b-1307-200000005223', 'ec7d626f-5a87-3f0b-1307-200000005224', 'ec7d626f-5a87-3f0b-1307-200000005225', 'ec7d626f-5a87-3f0b-1307-200000005226']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,194775,,2021-09-01,,,E,,,AG STATION 1,888-758-4389,2024-12-03T01:53:00Z,GPS,32.764803,-117.164315,San Diego,US,,,CA,375 Camino De La Reina,92108,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL8996551'],['15851551'],,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,194776,,2021-09-01,,,E,,,AG STATION 2,888-758-4389,2024-12-03T01:53:01Z,GPS,32.765412,-117.164006,San Diego,US,,,CA,375 Camino De La Reina,92108,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL8998071'],"['15854411', '15854421']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,194777,,2021-09-01,,,E,,,AG STATION 3,888-758-4389,2024-12-03T01:53:30Z,GPS,32.76543,-117.163898,San Diego,US,,,CA,375 Camino De La Reina,92108,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL9172751'],"['16194001', '16194011']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,194930,,2021-09-02,,,E,,,SADDLEBACK COLL DUAL P EAST,888-758-4389,2024-12-03T01:47:39Z,GPS,33.554032,-117.664112,Mission Viejo,US,Parking Lot 5B. South of The Baseball Field,,CA,28000 Marguerite Pkwy Lot 5B,92692,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL7288791'],"['12533891', '12533901']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,194931,,2021-09-02,,,E,,,SADDLEBACK COLL SINGLE P WEST,888-758-4389,2024-12-03T01:47:40Z,GPS,33.554005,-117.66393,Mission Viejo,US,Parking Lot 5B. South of Saddleback College Baseball Stadium,,CA,28000 Marguerite Pkwy,92692,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL7289741'],['22945651'],,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,194932,,2021-09-02,,,E,,,SADDLEBACK COLL SINGLE P EAST,888-758-4389,2024-12-03T01:47:40Z,GPS,33.554023,-117.664026,Mission Viejo,US,Parking Lot 5B. South of Saddleback College Baseball Stadium,,CA,28000 Marguerite Pkwy,92692,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL7289791'],['12535551'],,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,194973,,2021-09-02,,,E,,,UCSD CP-ATHENA DC1-3,888-758-4389,2024-12-03T01:54:03Z,GPS,32.879692,-117.221612,La Jolla,US,1st floor of Athena Parking Garage. Enter via East Medical Center Drive or Health Sciences Drive.,,CA,9417 Medical Center Drive East,92037,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL9402891'],['16638991'],,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,194974,,2021-09-02,,,E,,,UCSD CP-ATHENA DC1-1,888-758-4389,2024-12-03T01:54:03Z,GPS,32.879741,-117.221769,La Jolla,US,1st floor of Athena Parking Garage. Enter via East Medical Center Drive or Health Sciences Drive.,,CA,9417 Medical Center Drive East,92037,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL9402931'],['16639061'],,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,194975,,2021-09-02,,,E,,,UCSD CP-ATHENA DC1-4,888-758-4389,2024-12-03T01:54:03Z,GPS,32.879671,-117.221378,La Jolla,US,1st floor of Athena Parking Garage. Enter via East Medical Center Drive or Health Sciences Drive.,,CA,9417 Medical Center Drive East,92037,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL9402961'],['16639111'],,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,194976,,2021-09-02,,,E,,,UCSD CP-ATHENA DC1-5,888-758-4389,2024-12-03T01:54:03Z,GPS,32.879627,-117.221382,La Jolla,US,1st floor of Athena Parking Garage. Enter via East Medical Center Drive or Health Sciences Drive.,,CA,9417 Medical Center Drive East,92037,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL9403021'],['16639211'],,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,194977,,2021-09-02,,,E,,,UCSD CP-ATHENA DC1-2,888-758-4389,2024-12-03T01:54:04Z,GPS,32.879695,-117.221756,La Jolla,US,1st floor of Athena Parking Garage. Enter via East Medical Center Drive or Health Sciences Drive.,,CA,9417 Medical Center Drive East,92037,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['USCPIL9403711'],['16640511'],,,
